iter	Logloss
0	0.6914233696
1	0.6899081129
2	0.6884477982
3	0.6873705476
4	0.684102586
5	0.6826215098
6	0.6816875858
7	0.6789284908
8	0.6768470124
9	0.6746502847
10	0.6732559978
11	0.6726203514
12	0.6706490478
13	0.6698123687
14	0.6667598755
15	0.6661058677
16	0.6606989745
17	0.6598541165
18	0.6578131358
19	0.6559269653
20	0.6532508386
21	0.6498546708
22	0.6477580235
23	0.6449136175
24	0.6435739081
25	0.6428893744
26	0.6399964062
27	0.6392574222
28	0.6370439973
29	0.6365543881
30	0.6359242944
31	0.6352146823
32	0.6330390928
33	0.6316187057
34	0.6298668917
35	0.6266909259
36	0.626155181
37	0.6256815865
38	0.6237270381
39	0.6224650712
40	0.6220631318
41	0.6204375868
42	0.6181776296
43	0.6176825232
44	0.615982762
45	0.6138900351
46	0.6117964968
47	0.6113893961
48	0.6070376989
49	0.6059184016
50	0.6054025897
51	0.6049678158
52	0.6042111311
53	0.6021940678
54	0.5995656068
55	0.5974286963
56	0.5963014462
57	0.5950851566
58	0.5943092622
59	0.5939459269
60	0.5917269145
61	0.5899792909
62	0.5896463809
63	0.5874794781
64	0.5870037765
65	0.5850823073
66	0.5834209099
67	0.5829235419
68	0.5816963999
69	0.5798509885
70	0.5795612641
71	0.579255961
72	0.5777920369
73	0.5774573998
74	0.575757459
75	0.5747012768
76	0.5739932945
77	0.5730995987
78	0.5715725024
79	0.5705977953
80	0.5692834831
81	0.5686716092
82	0.5675269338
83	0.5668790576
84	0.5653086628
85	0.5639178838
86	0.5627866745
87	0.5617214025
88	0.5600615821
89	0.5597076876
90	0.5591794719
91	0.5582195691
92	0.5571697743
93	0.5568930511
94	0.556663493
95	0.556422584
96	0.5551140423
97	0.554892709
98	0.5546305294
99	0.5536933002
100	0.5531170379
101	0.5528802145
102	0.5526777127
103	0.5518413769
104	0.5508222189
105	0.5505825277
106	0.5490971711
107	0.5476007723
108	0.5466471135
109	0.5462696383
110	0.5455414837
111	0.5444430225
112	0.5421860151
113	0.5418357183
114	0.5407636802
115	0.5405358424
116	0.5402842987
117	0.5399746214
118	0.5397975028
119	0.5387764704
120	0.5380766283
121	0.537713445
122	0.5366692705
123	0.5361338402
124	0.5341642883
125	0.533153796
126	0.5313944294
127	0.5312207683
128	0.529798993
129	0.5294156629
130	0.5290980389
131	0.5283907859
132	0.5277183974
133	0.5275620642
134	0.5267677798
135	0.5265746012
136	0.5262485358
137	0.5255339947
138	0.5251111295
139	0.5248114866
140	0.5243224669
141	0.5233686785
142	0.5231247715
143	0.5228784573
144	0.5223763381
145	0.5220392421
146	0.5217203682
147	0.5210632101
148	0.5198453421
149	0.5189344608
150	0.5170154328
151	0.516787447
152	0.5166134735
153	0.516389474
154	0.5153092036
155	0.515000796
156	0.5140338873
157	0.513371191
158	0.5123627212
159	0.5114903692
160	0.5112419139
161	0.5109591458
162	0.510760336
163	0.5101441935
164	0.5098769311
165	0.5090198135
166	0.5085851169
167	0.5083632101
168	0.507673916
169	0.5068974825
170	0.5061985034
171	0.5055849
172	0.5049514506
173	0.5048340291
174	0.5038966343
175	0.5032892998
176	0.5030331362
177	0.5018410311
178	0.5012733994
179	0.5010863154
180	0.5003390329
181	0.4998284448
182	0.4983034046
183	0.497825197
184	0.4971300596
185	0.4968826854
186	0.4963568817
187	0.4953650366
188	0.4947630025
189	0.4944754557
190	0.4939488922
191	0.4934402292
192	0.4926521135
193	0.4922480808
194	0.4916851455
195	0.4914574961
196	0.4908618882
197	0.4906422573
198	0.4897089179
199	0.4888103403
200	0.4885441973
201	0.4883454139
202	0.4881036774
203	0.4873952085
204	0.4871532598
205	0.4869429403
206	0.4860559612
207	0.4844234213
208	0.4833377994
209	0.4830747319
210	0.4827408667
211	0.4825150823
212	0.4818906007
213	0.4815179211
214	0.4812960467
215	0.4804567796
216	0.4799306833
217	0.479336518
218	0.4779362784
219	0.4773997894
220	0.4771932655
221	0.4770178679
222	0.4768733774
223	0.4766665752
224	0.4765069808
225	0.4761980854
226	0.4758864439
227	0.4756402014
228	0.4751025707
229	0.4746241334
230	0.4741815528
231	0.4737683441
232	0.4725723876
233	0.4723506497
234	0.4721677238
235	0.4719764984
236	0.4716761407
237	0.470314849
238	0.4700662638
239	0.4695696884
240	0.4689794292
241	0.4687578234
242	0.4682228396
243	0.4677457731
244	0.4674822133
245	0.4672951978
246	0.4668822975
247	0.4663180273
248	0.4661530644
249	0.4660319268
250	0.4658640495
251	0.4655850828
252	0.46516062
253	0.4646785472
254	0.4643250813
255	0.464088838
256	0.4638530944
257	0.4636767358
258	0.4635079324
259	0.4633534955
260	0.4628442913
261	0.4622383238
262	0.4620960368
263	0.4618732232
264	0.461652731
265	0.4612280728
266	0.4608117547
267	0.4603392229
268	0.4601632704
269	0.459946244
270	0.4597286052
271	0.459515591
272	0.4592949447
273	0.4588489449
274	0.4586855314
275	0.4584810423
276	0.458319787
277	0.4577715185
278	0.4575624386
279	0.4574273027
280	0.4572764815
281	0.4570829167
282	0.4569102155
283	0.456749966
284	0.4563837633
285	0.455920039
286	0.455807392
287	0.4555530278
288	0.4547359907
289	0.4545555685
290	0.4543671108
291	0.4540178746
292	0.4536695413
293	0.4531811427
294	0.4529417837
295	0.4528299444
296	0.4526245355
297	0.4523293767
298	0.4521557023
299	0.451970584
