iter	Passed	Remaining
0	2	742
1	5	826
2	8	842
3	11	868
4	14	881
5	17	877
6	20	872
7	23	869
8	26	853
9	29	855
10	33	867
11	35	854
12	38	854
13	41	852
14	44	852
15	47	848
16	50	842
17	53	836
18	56	831
19	59	832
20	62	826
21	65	829
22	68	826
23	71	823
24	75	829
25	78	830
26	82	830
27	84	819
28	87	817
29	90	813
30	94	817
31	97	814
32	100	810
33	103	806
34	106	806
35	109	803
36	113	803
37	116	802
38	119	800
39	123	801
40	126	798
41	129	795
42	133	796
43	136	795
44	140	795
45	143	790
46	146	788
47	149	786
48	153	784
49	156	783
50	159	778
51	163	777
52	166	776
53	170	774
54	173	771
55	176	769
56	179	765
57	182	759
58	185	755
59	188	753
60	191	750
61	195	749
62	198	745
63	202	745
64	205	741
65	208	740
66	212	738
67	216	737
68	220	737
69	223	734
70	226	731
71	230	728
72	233	725
73	235	719
74	238	715
75	241	712
76	244	707
77	247	704
78	250	700
79	253	698
80	256	694
81	260	692
82	262	687
83	265	683
84	268	680
85	271	676
86	274	673
87	278	670
88	281	666
89	284	664
90	287	661
91	290	657
92	294	654
93	296	650
94	300	647
95	302	643
96	306	641
97	309	637
98	311	633
99	314	629
100	318	627
101	322	625
102	325	621
103	328	619
104	332	616
105	335	613
106	338	611
107	342	608
108	345	604
109	348	601
110	351	598
111	355	596
112	358	593
113	361	590
114	364	587
115	367	582
116	370	578
117	373	575
118	375	571
119	379	569
120	383	566
121	386	564
122	390	562
123	394	559
124	398	557
125	401	554
126	404	550
127	407	547
128	410	544
129	414	541
130	417	539
131	420	535
132	424	532
133	427	529
134	430	526
135	433	523
136	437	520
137	440	516
138	444	514
139	447	511
140	450	508
141	454	505
142	457	502
143	460	498
144	463	495
145	467	492
146	470	489
147	473	486
148	476	483
149	480	480
150	483	477
151	487	474
152	490	471
153	493	468
154	497	465
155	501	462
156	504	459
157	508	456
158	511	453
159	514	450
160	518	447
161	521	444
162	524	440
163	527	437
164	530	434
165	534	431
166	537	428
167	541	425
168	544	422
169	548	419
170	552	416
171	554	412
172	557	409
173	561	406
174	564	403
175	568	400
176	571	397
177	574	393
178	577	390
179	580	387
180	584	384
181	587	380
182	590	377
183	592	373
184	595	370
185	597	366
186	600	363
187	603	359
188	606	355
189	609	352
190	612	349
191	615	346
192	617	342
193	620	339
194	623	335
195	626	332
196	629	329
197	632	325
198	635	322
199	637	318
200	640	315
201	643	312
202	646	308
203	649	305
204	652	302
205	654	298
206	657	295
207	659	291
208	662	288
209	665	285
210	668	282
211	671	278
212	674	275
213	677	272
214	679	268
215	682	265
216	685	262
217	688	258
218	690	255
219	693	252
220	696	248
221	698	245
222	701	242
223	704	238
224	707	235
225	709	232
226	712	229
227	715	225
228	718	222
229	721	219
230	723	216
231	727	213
232	730	209
233	732	206
234	735	203
235	738	200
236	741	197
237	744	193
238	746	190
239	750	187
240	752	184
241	754	180
242	757	177
243	759	174
244	762	171
245	765	168
246	768	164
247	770	161
248	773	158
249	776	155
250	779	152
251	781	148
252	784	145
253	787	142
254	789	139
255	792	136
256	794	133
257	797	129
258	800	126
259	803	123
260	806	120
261	809	117
262	812	114
263	815	111
264	818	108
265	821	105
266	824	101
267	828	98
268	830	95
269	833	92
270	836	89
271	838	86
272	842	83
273	844	80
274	847	77
275	850	73
276	853	70
277	856	67
278	858	64
279	862	61
280	864	58
281	867	55
282	870	52
283	872	49
284	875	46
285	878	43
286	881	39
287	884	36
288	887	33
289	889	30
290	893	27
291	896	24
292	900	21
293	903	18
294	906	15
295	910	12
296	913	9
297	916	6
298	919	3
299	922	0
